"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL3925236";"";"None";"562.50";"2";"7.47";"BDBM236257";"CNC(=O)c1ccc(OC)c(-c2cc3c(n2C(C)C)C(c2ccc(Cl)cc2)N(c2cc(Cl)ccc2C)C3=O)c1";"IC50";"'='";"477.5";"nM";"6.32";"";"411618";"UO_0000065";"11.24";"0.22";"-1.15";"9.94";"0";"CHEMBL3888634";"Time Resolved Fluorescence Energy Transfer (TR-FRET) Assay: Assay 1: The test is performed in white 384-well plates (Greiner Bio-One, reference 781207) in a total volume of 60 μL by adding 1 μL of compounds tested at different concentrations diluted in 100% DMSO (1.7% final DMSO concentration) in reaction buffer (PBS, 125 mM NaCl, 0.001% Novexin (consists of carbohydrate polymers), designed to increase the solubility and stability of proteins; Expedeon Ltd., Cambridgeshire, United Kingdom), 0.01% Gelatin, 0.01% 0.2%, Pluronic F-127 (block copolymer from ethylenoxide and propyleneoxide), 1 mM DTT). After addition of 1.25 nM MDM2-biotinylated or 2.5 nM MDM4-biotinylated (internal preparations), and 0.625 nM Europium labeled streptavidin (Perkin Elmer), the solution is pre-incubated for 15 minutes at room temperature, then 10 nM Cy5-p53 peptide (internal preparation) is added before an incubation at room temperature for 15 minutes prior to reading the plate. For measurement of samples, a Victor II microplate reader (Perkin Elmer) is used with the following settings: Excitation 340 nm, Emission Donor 620 nm and Emission Acceptor 665 nm.";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2221344";"Tumour suppressor protein p53/Mdm4";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL3886789";"37";"BindingDB Database";"";"2016";"None";"";""
"CHEMBL3906706";"";"None";"550.10";"2";"5.91";"BDBM236349";"CNC(=O)c1ccc(OC)c(-c2cc3c(n2C(C)C)C(c2ccc(Cl)cc2C)N([C@H]2CC[C@H](O)CC2)C3=O)c1";"IC50";"'='";"2375.7";"nM";"5.62";"";"411625";"UO_0000065";"10.22";"0.20";"-0.29";"6.71";"0";"CHEMBL3888634";"Time Resolved Fluorescence Energy Transfer (TR-FRET) Assay: Assay 1: The test is performed in white 384-well plates (Greiner Bio-One, reference 781207) in a total volume of 60 μL by adding 1 μL of compounds tested at different concentrations diluted in 100% DMSO (1.7% final DMSO concentration) in reaction buffer (PBS, 125 mM NaCl, 0.001% Novexin (consists of carbohydrate polymers), designed to increase the solubility and stability of proteins; Expedeon Ltd., Cambridgeshire, United Kingdom), 0.01% Gelatin, 0.01% 0.2%, Pluronic F-127 (block copolymer from ethylenoxide and propyleneoxide), 1 mM DTT). After addition of 1.25 nM MDM2-biotinylated or 2.5 nM MDM4-biotinylated (internal preparations), and 0.625 nM Europium labeled streptavidin (Perkin Elmer), the solution is pre-incubated for 15 minutes at room temperature, then 10 nM Cy5-p53 peptide (internal preparation) is added before an incubation at room temperature for 15 minutes prior to reading the plate. For measurement of samples, a Victor II microplate reader (Perkin Elmer) is used with the following settings: Excitation 340 nm, Emission Donor 620 nm and Emission Acceptor 665 nm.";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2221344";"Tumour suppressor protein p53/Mdm4";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL3886789";"37";"BindingDB Database";"";"2016";"None";"";""
"CHEMBL3775808";"";"None";"263.75";"0";"3.88";"4b";"O=C(Nc1ccccc1S)c1ccc(Cl)cc1";"IC50";"'='";"3400.0";"nM";"5.47";"";"";"UO_0000065";"20.73";"0.44";"1.59";"18.79";"0";"CHEMBL3778679";"Inhibition of Flag-tagged p53/GST-tagged Mdmx (unknown origin) expressed in Escherichia coli BL21 after 1 hr by ELISA microplate reader method";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2221344";"Tumour suppressor protein p53/Mdm4";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL3774315";"1";"Scientific Literature";"Bioorg Med Chem";"2016";"None";"";""
"CHEMBL3962130";"";"None";"526.40";"2";"7.12";"BDBM238904";"COc1ccncc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1cccc(Cl)c1F)C(=O)N2";"IC50";"'='";"14040.0";"nM";"4.85";"";"417034";"UO_0000065";"9.22";"0.18";"-2.27";"6.71";"0";"CHEMBL3888806";"Time Resolved Fluorescence Energy Transfer (TR-FRET) Assay: Assay 1: This assay was used to evaluate compounds displaying inhibition of p53-MDM2 interaction and p53-MDM4 interaction at IC50s of 0.005 to 50 μM (p53-MDM2 Assay 1 and p53-MDM4 Assay 1, respectively). The test is performed in white 384-well plates (Greiner Bio-One, reference 781207) in a total volume of 60 μL by adding 1 μL of compounds tested at different concentrations diluted in 100% DMSO (1.7% final DMSO concentration) in reaction buffer (PBS, 125 mM NaCl, 0.001% Novexin (consists of carbohydrate polymers), designed to increase the solubility and stability of proteins; Expedeon Ltd., Cambridgeshire, United Kingdom), 0.01% Gelatin, 0.01% 0.2%, Pluronic F-127 (block copolymer from ethylenoxide and propyleneoxide), 1 mM DTT). After addition of 1.25 nM MDM2-biotinylated or 2.5 nM MDM4-biotinylated (internal preparations, both MDM2 and MDM4 are biotinylated at the C-terminal of the peptide construct), and 0.625 nM Europium labeled streptavidin (Perkin Elmer), the solution is pre-incubated for 15 minutes at room temperature, then 10 nM Cy5-p53 peptide (internal preparation, the Cy5 dye is directly bound to the N-terminal part of p53 peptide construct) is added before an incubation at room temperature for 15 minutes prior to reading the plate. For measurement of samples, a Victor II microplate reader (Perkin Elmer) is used with the following settings: Excitation 340 nm, Emission Donor 620 nm and Emission Acceptor 665 nm.";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2221344";"Tumour suppressor protein p53/Mdm4";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL3886839";"37";"BindingDB Database";"";"2016";"None";"";""
"CHEMBL3775883";"";"None";"249.31";"0";"2.84";"1e";"CC(C)C(=O)Nc1ccccc1OC(=O)C(C)C";"IC50";"'>'";"25000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3778679";"Inhibition of Flag-tagged p53/GST-tagged Mdmx (unknown origin) expressed in Escherichia coli BL21 after 1 hr by ELISA microplate reader method";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2221344";"Tumour suppressor protein p53/Mdm4";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL3774315";"1";"Scientific Literature";"Bioorg Med Chem";"2016";"None";"";""
"CHEMBL3775815";"";"None";"195.29";"0";"2.57";"1b";"CC(C)C(=O)Nc1ccccc1S";"IC50";"'='";"6300.0";"nM";"5.20";"";"";"UO_0000065";"26.63";"0.55";"2.63";"17.87";"0";"CHEMBL3778679";"Inhibition of Flag-tagged p53/GST-tagged Mdmx (unknown origin) expressed in Escherichia coli BL21 after 1 hr by ELISA microplate reader method";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2221344";"Tumour suppressor protein p53/Mdm4";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL3774315";"1";"Scientific Literature";"Bioorg Med Chem";"2016";"None";"";""
"CHEMBL3919782";"";"None";"580.49";"2";"7.61";"BDBM236254";"CNC(=O)c1ccc(OC)c(-c2cc3c(n2C(C)C)[C@H](c2ccc(Cl)cc2C)N(c2cccc(Cl)c2F)C3=O)c1";"IC50";"'='";"507.5";"nM";"6.29";"";"411616";"UO_0000065";"10.84";"0.21";"-1.32";"9.90";"0";"CHEMBL3888634";"Time Resolved Fluorescence Energy Transfer (TR-FRET) Assay: Assay 1: The test is performed in white 384-well plates (Greiner Bio-One, reference 781207) in a total volume of 60 μL by adding 1 μL of compounds tested at different concentrations diluted in 100% DMSO (1.7% final DMSO concentration) in reaction buffer (PBS, 125 mM NaCl, 0.001% Novexin (consists of carbohydrate polymers), designed to increase the solubility and stability of proteins; Expedeon Ltd., Cambridgeshire, United Kingdom), 0.01% Gelatin, 0.01% 0.2%, Pluronic F-127 (block copolymer from ethylenoxide and propyleneoxide), 1 mM DTT). After addition of 1.25 nM MDM2-biotinylated or 2.5 nM MDM4-biotinylated (internal preparations), and 0.625 nM Europium labeled streptavidin (Perkin Elmer), the solution is pre-incubated for 15 minutes at room temperature, then 10 nM Cy5-p53 peptide (internal preparation) is added before an incubation at room temperature for 15 minutes prior to reading the plate. For measurement of samples, a Victor II microplate reader (Perkin Elmer) is used with the following settings: Excitation 340 nm, Emission Donor 620 nm and Emission Acceptor 665 nm.";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2221344";"Tumour suppressor protein p53/Mdm4";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL3886789";"37";"BindingDB Database";"";"2016";"None";"";""
"CHEMBL3895110";"";"None";"496.01";"0";"4.62";"BDBM236315";"COc1nc(N)ncc1-c1cc2c(n1C(C)C)C(c1ccc(Cl)cc1)N([C@H]1CC[C@H](O)CC1)C2=O";"IC50";"'='";"7858.6";"nM";"5.11";"";"411622";"UO_0000065";"10.29";"0.20";"0.48";"4.79";"0";"CHEMBL3888634";"Time Resolved Fluorescence Energy Transfer (TR-FRET) Assay: Assay 1: The test is performed in white 384-well plates (Greiner Bio-One, reference 781207) in a total volume of 60 μL by adding 1 μL of compounds tested at different concentrations diluted in 100% DMSO (1.7% final DMSO concentration) in reaction buffer (PBS, 125 mM NaCl, 0.001% Novexin (consists of carbohydrate polymers), designed to increase the solubility and stability of proteins; Expedeon Ltd., Cambridgeshire, United Kingdom), 0.01% Gelatin, 0.01% 0.2%, Pluronic F-127 (block copolymer from ethylenoxide and propyleneoxide), 1 mM DTT). After addition of 1.25 nM MDM2-biotinylated or 2.5 nM MDM4-biotinylated (internal preparations), and 0.625 nM Europium labeled streptavidin (Perkin Elmer), the solution is pre-incubated for 15 minutes at room temperature, then 10 nM Cy5-p53 peptide (internal preparation) is added before an incubation at room temperature for 15 minutes prior to reading the plate. For measurement of samples, a Victor II microplate reader (Perkin Elmer) is used with the following settings: Excitation 340 nm, Emission Donor 620 nm and Emission Acceptor 665 nm.";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2221344";"Tumour suppressor protein p53/Mdm4";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL3886789";"37";"BindingDB Database";"";"2016";"None";"";""
"CHEMBL3900710";"";"None";"500.99";"1";"4.60";"BDBM236486";"Cc1cc(N2C(=O)c3cc(-c4ccn(C)c(=O)c4)n(C4CC4)c3C2c2ccc(Cl)cc2)cn(C)c1=O";"IC50";"'>'";"100000.0";"nM";"";"";"411634";"UO_0000065";"";"";"";"";"0";"CHEMBL3888634";"Time Resolved Fluorescence Energy Transfer (TR-FRET) Assay: Assay 1: The test is performed in white 384-well plates (Greiner Bio-One, reference 781207) in a total volume of 60 μL by adding 1 μL of compounds tested at different concentrations diluted in 100% DMSO (1.7% final DMSO concentration) in reaction buffer (PBS, 125 mM NaCl, 0.001% Novexin (consists of carbohydrate polymers), designed to increase the solubility and stability of proteins; Expedeon Ltd., Cambridgeshire, United Kingdom), 0.01% Gelatin, 0.01% 0.2%, Pluronic F-127 (block copolymer from ethylenoxide and propyleneoxide), 1 mM DTT). After addition of 1.25 nM MDM2-biotinylated or 2.5 nM MDM4-biotinylated (internal preparations), and 0.625 nM Europium labeled streptavidin (Perkin Elmer), the solution is pre-incubated for 15 minutes at room temperature, then 10 nM Cy5-p53 peptide (internal preparation) is added before an incubation at room temperature for 15 minutes prior to reading the plate. For measurement of samples, a Victor II microplate reader (Perkin Elmer) is used with the following settings: Excitation 340 nm, Emission Donor 620 nm and Emission Acceptor 665 nm.";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2221344";"Tumour suppressor protein p53/Mdm4";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL3886789";"37";"BindingDB Database";"";"2016";"None";"";""
"CHEMBL191334";"NUTLIN-3";"None";"581.50";"2";"5.89";"Nutlin-3a";"COc1ccc(C2=N[C@@H](c3ccc(Cl)cc3)[C@@H](c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1";"IC50";"'='";"8200.0";"nM";"5.09";"";"";"UO_0000065";"8.75";"0.17";"-0.80";"6.09";"0";"CHEMBL3778679";"Inhibition of Flag-tagged p53/GST-tagged Mdmx (unknown origin) expressed in Escherichia coli BL21 after 1 hr by ELISA microplate reader method";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2221344";"Tumour suppressor protein p53/Mdm4";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL3774315";"1";"Scientific Literature";"Bioorg Med Chem";"2016";"None";"";""
