"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL3318761";"";"None";"579.55";"2";"5.39";"9";"C[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@H](CS(=O)(=O)NC2CC2)C2CC2)C1=O";"IC50";"'='";"0.059";"nM";"10.23";"";"";"UO_0000065";"17.65";"0.37";"4.84";"9.86";"0";"CHEMBL3370341";"Binding affinity to human GST-thrombin-tagged MDM2 assessed as inhibition of interaction with human p53 after 1 hr by HTRF assay in presence of 15% human serum";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351847";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";""
"CHEMBL3318777";"";"None";"609.62";"2";"6.37";"28";"CN(C1CC1)S(=O)(=O)C[C@@H](N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1)C(C)(C)C";"IC50";"'='";"0.38";"nM";"9.42";"";"";"UO_0000065";"15.45";"0.32";"3.05";"9.92";"0";"CHEMBL3370341";"Binding affinity to human GST-thrombin-tagged MDM2 assessed as inhibition of interaction with human p53 after 1 hr by HTRF assay in presence of 15% human serum";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351847";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";""
"CHEMBL3318779";"";"None";"623.64";"2";"6.76";"30";"C[C@@H]1CCCN1S(=O)(=O)C[C@@H](N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1)C(C)(C)C";"IC50";"'='";"0.15";"nM";"9.82";"";"";"UO_0000065";"15.75";"0.33";"3.06";"10.34";"0";"CHEMBL3370341";"Binding affinity to human GST-thrombin-tagged MDM2 assessed as inhibition of interaction with human p53 after 1 hr by HTRF assay in presence of 15% human serum";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351847";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";""
"CHEMBL3318780";"";"None";"623.64";"2";"6.76";"31";"C[C@H]1CCCN1S(=O)(=O)C[C@@H](N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1)C(C)(C)C";"IC50";"'='";"1.1";"nM";"8.96";"";"";"UO_0000065";"14.37";"0.30";"2.20";"9.43";"0";"CHEMBL3370341";"Binding affinity to human GST-thrombin-tagged MDM2 assessed as inhibition of interaction with human p53 after 1 hr by HTRF assay in presence of 15% human serum";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351847";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";""
"CHEMBL3318781";"";"None";"638.66";"2";"5.52";"32";"CN1CCN(S(=O)(=O)C[C@@H](N2C(=O)[C@@](C)(CC(=O)O)C[C@H](c3cccc(Cl)c3)[C@H]2c2ccc(Cl)cc2)C(C)(C)C)CC1";"IC50";"'='";"0.074";"nM";"10.13";"";"";"UO_0000065";"15.86";"0.33";"4.61";"10.31";"0";"CHEMBL3370341";"Binding affinity to human GST-thrombin-tagged MDM2 assessed as inhibition of interaction with human p53 after 1 hr by HTRF assay in presence of 15% human serum";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351847";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";""
"CHEMBL3318784";"";"None";"659.62";"2";"7.01";"35";"CC(C)(C)[C@@H](CS(=O)(=O)N1CCC(F)(F)CC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1";"IC50";"'='";"0.37";"nM";"9.43";"";"";"UO_0000065";"14.30";"0.30";"2.42";"9.93";"0";"CHEMBL3370341";"Binding affinity to human GST-thrombin-tagged MDM2 assessed as inhibition of interaction with human p53 after 1 hr by HTRF assay in presence of 15% human serum";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351847";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";""
"CHEMBL3318787";"";"None";"675.65";"2";"7.48";"38";"CC(C)(C)[C@@H](CS(=O)(=O)N1CCc2cc(F)ccc21)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1";"IC50";"'='";"0.22";"nM";"9.66";"";"";"UO_0000065";"14.29";"0.29";"2.18";"10.17";"0";"CHEMBL3370341";"Binding affinity to human GST-thrombin-tagged MDM2 assessed as inhibition of interaction with human p53 after 1 hr by HTRF assay in presence of 15% human serum";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351847";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";""
"CHEMBL405395";"";"None";"1209.76";"None";"None";"Page No 2481, R4C1";"CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(C)=O)C(=O)NC(C)(C)C(=O)N[C@@H](Cc1ccc(CP(=O)(O)O)cc1)C(=O)N[C@@H](Cc1c[nH]c2cc(Cl)ccc12)C(=O)N[C@@H](CCC(=O)O)C(=O)NC1(C(=O)N[C@@H](CC(C)C)C(N)=O)CC1";"IC50";"'='";"5.0";"nM";"8.30";"";"";"UO_0000065";"6.86";"None";"None";"None";"1";"CHEMBL2383516";"Antagonist activity at human GST-tagged MDM2 assessed as inhibition of binding to full length p53";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2380265";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";""
"CHEMBL2398474";"";"None";"534.46";"1";"4.52";"4";"CC(C)(C)C[C@@H]1N[C@@H](C(=O)N[C@H]2C[C@@H](O)C2)[C@H](c2cccc(Cl)c2F)[C@]12C(=O)Nc1cc(Cl)ccc12";"IC50";"'='";"8.2";"nM";"8.09";"";"";"UO_0000065";"15.13";"0.31";"3.57";"8.94";"0";"CHEMBL2401075";"Binding affinity to recombinant human His-tagged MDM2 (1 to 118 amino acids) using p53-based PMDM6-F as probe after 15 to 30 mins by fluorescence polarization assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2396650";"1";"Scientific Literature";"J Med Chem";"2013";"None";"";""
"CHEMBL2398472";"";"None";"552.47";"1";"3.74";"2";"CC(C)(C)C[C@@H]1N[C@@H](C(=O)NCC[C@H](O)CO)[C@H](c2cccc(Cl)c2F)[C@]12C(=O)Nc1cc(Cl)ccc12";"IC50";"'='";"9.8";"nM";"8.01";"";"";"UO_0000065";"14.50";"0.30";"4.27";"7.24";"0";"CHEMBL2401075";"Binding affinity to recombinant human His-tagged MDM2 (1 to 118 amino acids) using p53-based PMDM6-F as probe after 15 to 30 mins by fluorescence polarization assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2396650";"1";"Scientific Literature";"J Med Chem";"2013";"None";"";""
"CHEMBL380399";"";"None";"692.43";"2";"5.55";"30";"CN1CCN(CCCN2C(=O)[C@H](c3ccc(Cl)cc3)N(Cc3ccc(Cl)cc3N)C(=O)c3cc(I)ccc32)CC1";"IC50";"'='";"5410.0";"nM";"5.27";"";"";"UO_0000065";"7.61";"0.18";"-0.28";"7.20";"0";"CHEMBL865541";"Inhibition of p53-Hdm2 interaction by FP assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138098";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";""
"CHEMBL3355431";"";"None";"480.37";"0";"3.70";"20";"N[C@@H](C(=O)N[C@H]1CC[C@H](O)CC1)[C@H](c1cccc(Cl)c1F)C1C(=O)Nc2cc(Cl)ccc21";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3380268";"Binding affinity to human His-tagged MDM2 (1 to 118 residues) using FAM tagged p53-based peptide by fluorescence prolarization based protein binding assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351696";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";""
"CHEMBL207541";"";"None";"678.35";"2";"5.75";"12l";"C[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(C(=O)CN2CCOCC2)C(=O)[C@@H]1c1ccc(Cl)cc1";"IC50";"'='";"5400.0";"nM";"5.27";"";"";"UO_0000065";"7.77";"0.18";"-0.48";"7.51";"0";"CHEMBL868168";"Displacement of p53 mimicking fluorescent peptide from Hdm2 by FP assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148515";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";""
"CHEMBL378851";"";"None";"664.37";"2";"6.22";"12d";"C[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(CCN2CCOCC2)C(=O)[C@H]1c1ccc(Cl)cc1";"IC50";"'='";"6250.0";"nM";"5.20";"";"";"UO_0000065";"7.83";"0.19";"-1.02";"9.80";"0";"CHEMBL868168";"Displacement of p53 mimicking fluorescent peptide from Hdm2 by FP assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148515";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";""
"CHEMBL210151";"";"None";"651.33";"2";"7.14";"19";"C[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(Cl)cc1";"IC50";"'='";"856.0";"nM";"6.07";"";"";"UO_0000065";"9.32";"0.22";"-1.07";"7.79";"0";"CHEMBL868168";"Displacement of p53 mimicking fluorescent peptide from Hdm2 by FP assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148515";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";""
"CHEMBL210151";"";"None";"651.33";"2";"7.14";"19";"C[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(Cl)cc1";"IC50";"'='";"700.0";"nM";"6.16";"";"";"UO_0000065";"9.45";"0.23";"-0.99";"7.90";"0";"CHEMBL854219";"Inhibition p53-HDM2 interaction by FP assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147820";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";""
"CHEMBL382389";"";"None";"736.43";"2";"6.99";"16";"CCN(CC)C(=O)C(c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(Cl)cc1";"IC50";"'='";"37000.0";"nM";"4.43";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL853093";"Antiproliferative activity against mutant p53 expressing MDA-MB-231 cells by BrdU proliferation assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MDA-MB-231";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147820";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"CHEMBL3307960";"";""
"CHEMBL379173";"";"None";"577.53";"1";"4.33";"8, MI-63";"CC(C)(C)C[C@H]1N[C@@H](C(=O)NCCN2CCOCC2)[C@H](c2cccc(Cl)c2F)[C@@]12C(=O)Nc1cc(Cl)ccc12";"IC50";"'='";"18000.0";"nM";"4.75";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL866342";"Antiproliferative activity against human PC3 cell line with deleted p53";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"PC-3";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148527";"1";"Scientific Literature";"J Med Chem";"2006";"CHEMBL3307570";"";""
"CHEMBL1688169";"";"None";"369.44";"0";"3.82";"48";"CCCN1C(=O)c2ccccc2C1(OC1CCC(O)C1)c1ccc(F)cc1";"IC50";"'>'";"20000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1694433";"Inhibition of Mdm2 -p53 protein interaction by ELISA";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1687910";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";""
"CHEMBL1688252";"";"None";"478.93";"1";"5.04";"52";"O=C1c2ccccc2C(O[C@H]2CC[C@@H](O)C2)(c2ccc(Cl)cc2)N1Cc1ccc([N+](=O)[O-])cc1";"IC50";"'='";"400.0";"nM";"6.40";"";"";"UO_0000065";"13.36";"0.26";"1.36";"6.89";"0";"CHEMBL1694433";"Inhibition of Mdm2 -p53 protein interaction by ELISA";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1687910";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";""
"CHEMBL1688258";"";"None";"464.91";"0";"4.67";"58";"O=C1c2ccccc2C(OC/C=C\CO)(c2ccc(Cl)cc2)N1Cc1ccc([N+](=O)[O-])cc1";"IC50";"'='";"400.0";"nM";"6.40";"";"";"UO_0000065";"13.76";"0.26";"1.73";"6.89";"0";"CHEMBL1694433";"Inhibition of Mdm2 -p53 protein interaction by ELISA";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1687910";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";""
"CHEMBL1688275";"";"None";"492.96";"1";"5.43";"75";"O=C1c2ccccc2C(O[C@H]2CC[C@H](O)CC2)(c2ccc(Cl)cc2)N1Cc1ccc([N+](=O)[O-])cc1";"IC50";"'='";"390.0";"nM";"6.41";"";"";"UO_0000065";"13.00";"0.25";"0.98";"6.90";"0";"CHEMBL1694433";"Inhibition of Mdm2 -p53 protein interaction by ELISA";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1687910";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";""
"CHEMBL1688279";"";"None";"468.38";"1";"5.64";"80";"O=C1c2ccccc2C(OCC2(CO)CC2)(c2ccc(Cl)cc2)N1Cc1ccc(Cl)cc1";"IC50";"'='";"2300.0";"nM";"5.64";"";"";"UO_0000065";"12.04";"0.24";"0.00";"11.33";"0";"CHEMBL1694433";"Inhibition of Mdm2 -p53 protein interaction by ELISA";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1687910";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";""
"CHEMBL1688281";"";"None";"559.83";"2";"5.59";"82";"O=C1c2ccccc2C(OCC2(CO)CC2)(c2ccc(Cl)cc2)N1Cc1ccc(I)cc1";"IC50";"'='";"1500.0";"nM";"5.82";"";"";"UO_0000065";"10.40";"0.25";"0.23";"11.70";"1";"CHEMBL1694433";"Inhibition of Mdm2 -p53 protein interaction by ELISA";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1687910";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";""
"CHEMBL3291219";"";"None";"300.36";"1";"5.31";"8";"Cc1[nH]c(-c2ccccc2)c(-c2ccccc2)c1-c1ccon1";"IC50";"'='";"940.0";"nM";"6.03";"";"";"UO_0000065";"20.07";"0.36";"0.72";"14.41";"0";"CHEMBL3295827";"Inhibition of GST-tagged HDM2 (unknown origin) expressed in Escherichia coli BL21 cells assessed as p53 activation by measuring inhibition of His-p53 ubiquitination after 1 hr by fluorescence spectroscopy";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BL21";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3286124";"1";"Scientific Literature";"Eur J Med Chem";"2014";"None";"";""
"CHEMBL3125703";"";"None";"492.44";"1";"6.08";"3";"CC[C@H](N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1)C(C)(C)O";"IC50";"'='";"32.0";"nM";"7.50";"";"";"UO_0000065";"15.22";"0.31";"1.41";"9.63";"0";"CHEMBL3132469";"Binding affinity to human GST-thrombin-tagged MDM2 assessed as inhibition of interaction with human p53 after 1 hr by HTRF assay in presence of 15% human serum";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3124826";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";""
"CHEMBL3683127";"";"None";"502.01";"2";"6.59";"BDBM161841";"CC[C@@H](C)Oc1cc2c(cc1OC)CC(=O)N(c1ccc(-c3cn[nH]c3)cc1)C2c1ccc(Cl)cc1";"IC50";"'='";"1383.0";"nM";"5.86";"";"304973";"UO_0000065";"11.67";"0.22";"-0.73";"8.69";"0";"CHEMBL3706352";"Time Resolved Fluorescence Energy Transfer (TR-FRET) Assay: The inhibition of p53-Hdm2 and p53-Hdm4 interactions is measured by time resolved fluorescence energy transfer (TR-FRET). Fluorescence energy transfer (or Foerster resonance energy transfer) describes an energy transfer between donor and acceptor fluorescent molecules. For this assay, MDM2 protein (amino acids 2-188) and MDM4 protein (amino acids 2-185), tagged with a C-terminal Biotin moiety, are used in combination with a Europium labeled streptavidin (Perkin Elmer, Inc., Waltham, Mass., USA) serving as the donor fluorophore. The p53 derived, Cy5 labeled peptide Cy5-TFSDLWKLL (p53 aa 18-26) is the energy acceptor. Upon excitation of the donor molecule at 340 nm, binding interaction between MDM2 or MDM4 and the p53 peptide induces energy transfer and enhanced response at the acceptor emission wavelength at 665 nm. Disruption of the formation of the p53-MDM2 or p53-MDM4 complex due to an inhibitor molecule binding to the p53 binding site of MDM2 or MDM4 results in increased donor emission.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639156";"37";"BindingDB Database";"";"2015";"None";"";""
"CHEMBL3657004";"";"None";"577.51";"2";"7.21";"BDBM129908";"COc1ccc(C(=O)N(C)C)cc1-c1nc2c(n1C(C)C)[C@@H](c1ccc(Cl)cc1)N(c1cc(Cl)ccc1C)C2=O";"IC50";"'='";"70.5";"nM";"7.15";"";"261639";"UO_0000065";"12.38";"0.24";"-0.06";"10.57";"0";"CHEMBL3705464";"Time Resolved Fluorescence Energy Transfer (TR-FRET) Assay: The inhibition of p53-MDM2 and p53-MDM4 interactions is measured by time resolved fluorescence energy transfer (TR-FRET). Fluorescence energy transfer (or Foerster resonance energy transfer) describes an energy transfer between donor and acceptor fluorescent molecules. For this assay, human MDM2 protein (amino acids 2-188) and human MDM4 protein (amino acids 2-185), tagged with a C-terminal biotin moiety, are used in combination with a Europium labeled streptavidin (Perkin Elmer, Inc., Waltham, Mass., USA) serving as the donor fluorophore. The p53 derived, Cy5 labeled peptide Cy5-TFSDLWKLL (p53 aa18-26) is the energy acceptor. Upon excitation of the donor molecule at 340 nm, binding interaction between MDM2 or MDM4 and the p53 peptide induces energy transfer and enhanced response at the acceptor emission wavelength at 665 nm.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639025";"37";"BindingDB Database";"";"2014";"None";"";""
"CHEMBL3318764";"";"None";"595.59";"2";"6.03";"12";"CC(C)(C)NS(=O)(=O)C[C@H](C1CC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1";"IC50";"'='";"0.091";"nM";"10.04";"";"";"UO_0000065";"16.86";"0.35";"4.01";"9.68";"0";"CHEMBL3370341";"Binding affinity to human GST-thrombin-tagged MDM2 assessed as inhibition of interaction with human p53 after 1 hr by HTRF assay in presence of 15% human serum";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351847";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";""
"CHEMBL3318770";"";"None";"616.57";"2";"6.15";"21";"C[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@H](CS(=O)(=O)Nc2ccccn2)C2CC2)C1=O";"IC50";"'='";"0.16";"nM";"9.80";"";"";"UO_0000065";"15.89";"0.33";"3.65";"8.40";"0";"CHEMBL3370341";"Binding affinity to human GST-thrombin-tagged MDM2 assessed as inhibition of interaction with human p53 after 1 hr by HTRF assay in presence of 15% human serum";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351847";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";""
