"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL583842";"";"None";"428.44";"1";"5.14";"rac-9";"CN1C2=C(C(c3ccc(F)cc3)Oc3ccccc32)C(c2ccc(F)cc2)n2ncnc21";"IC50";"'='";"14800.0";"nM";"4.83";"";"";"UO_0000065";"11.27";"0.21";"-0.31";"11.19";"0";"CHEMBL1052159";"Inhibition of human MDM2/P53 interaction by HTRF assay";"B";"BAO_0000224";"protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1907611";"Tumour suppressor p53/oncoprotein Mdm2";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL1154659";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";""
"CHEMBL568530";"";"None";"550.25";"2";"6.39";"rac-11";"CN1C2=C(C(c3ccc(Br)cc3)Oc3ccccc32)C(c2ccc(Br)cc2)n2ncnc21";"IC50";"'='";"1170.0";"nM";"5.93";"";"";"UO_0000065";"10.78";"0.25";"-0.46";"13.74";"0";"CHEMBL1052159";"Inhibition of human MDM2/P53 interaction by HTRF assay";"B";"BAO_0000224";"protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1907611";"Tumour suppressor p53/oncoprotein Mdm2";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL1154659";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";""
"CHEMBL433949";"";"None";"359.85";"0";"3.81";"2r";"CCCN1C(=O)c2ccccc2C1(OCCCO)c1ccc(Cl)cc1";"IC50";"'='";"16400.0";"nM";"4.79";"";"";"UO_0000065";"13.30";"0.26";"0.98";"9.61";"0";"CHEMBL828042";"Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SJSA-1";"None";"";"";"";"CHEMBL1907611";"Tumour suppressor p53/oncoprotein Mdm2";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL1142026";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"CHEMBL3308885";"";""
"CHEMBL361630";"";"None";"579.77";"None";"None";"2x";"CCCN1C(=O)c2ccccc2C1(OCc1cc(OC)c(O)c(OC)c1)c1ccc(OCOCC[Si](C)(C)C)cc1";"IC50";"'='";"118000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL828042";"Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SJSA-1";"None";"";"";"";"CHEMBL1907611";"Tumour suppressor p53/oncoprotein Mdm2";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL1142026";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"CHEMBL3308885";"";""
"CHEMBL362410";"";"None";"627.81";"None";"None";"2v";"COc1cc(COC2(c3ccc(OCOCC[Si](C)(C)C)cc3)c3ccccc3C(=O)N2Cc2ccccc2)cc(OC)c1O";"IC50";"'='";"257000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL828042";"Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SJSA-1";"None";"";"";"";"CHEMBL1907611";"Tumour suppressor p53/oncoprotein Mdm2";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL1142026";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"CHEMBL3308885";"";""
"CHEMBL583626";"";"None";"594.31";"2";"6.79";"rac-24";"CCOc1cccc2c1C1=C(C(c3ccc(Br)cc3)O2)C(c2ccc(Br)cc2)n2ncnc2N1C";"IC50";"'='";"910.0";"nM";"6.04";"";"";"UO_0000065";"10.16";"0.24";"-0.75";"11.53";"0";"CHEMBL1052159";"Inhibition of human MDM2/P53 interaction by HTRF assay";"B";"BAO_0000224";"protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1907611";"Tumour suppressor p53/oncoprotein Mdm2";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL1154659";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";""
"CHEMBL361733";"";"None";"560.78";"1";"4.78";"14";"O=C1Nc2ccc(I)cc2C(=O)N([C@@H](Cc2ccccc2)C(=O)O)[C@H]1c1ccc(Cl)cc1";"IC50";"'='";"12000.0";"nM";"4.92";"";"";"UO_0000065";"8.77";"0.21";"0.14";"5.68";"0";"CHEMBL833471";"Inhibition of p53-binding to HDM2 (human MDM2) by fluorescence polarization peptide displacement assay";"B";"BAO_0000224";"protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1907611";"Tumour suppressor p53/oncoprotein Mdm2";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL1140282";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";""
"CHEMBL180897";"";"None";"356.47";"0";"4.54";"1a";"CCCNC1(c2ccccc2)c2ccccc2C(=O)N1Cc1ccccc1";"IC50";"'~'";"200000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL828042";"Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SJSA-1";"None";"";"";"";"CHEMBL1907611";"Tumour suppressor p53/oncoprotein Mdm2";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL1142026";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"CHEMBL3308885";"";""
"CHEMBL180799";"";"None";"602.86";"2";"6.20";"17";"CC(C)(C)c1ccc([C@@H](C(=O)O)N2C(=O)c3cc(I)ccc3NC(=O)[C@@H]2c2ccc(Cl)cc2)cc1";"IC50";"'='";"2270.0";"nM";"5.64";"";"";"UO_0000065";"9.36";"0.22";"-0.56";"6.51";"0";"CHEMBL833471";"Inhibition of p53-binding to HDM2 (human MDM2) by fluorescence polarization peptide displacement assay";"B";"BAO_0000224";"protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1907611";"Tumour suppressor p53/oncoprotein Mdm2";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL1140282";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";""
"CHEMBL3962088";"";"None";"622.52";"2";"7.41";"BDBM236302";"COc1ccc(C(=O)N2CCOCC2)cc1-c1cc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1ccc(F)c(Cl)c1)C2=O";"IC50";"'='";"0.287";"nM";"9.54";"";"411687";"UO_0000065";"15.33";"0.30";"2.13";"14.91";"0";"CHEMBL3888635";"Time Resolved Fluorescence Energy Transfer (TR-FRET) Assay: Assay 2: The test is performed in white 384-well plates (Greiner Bio-One, reference 781207) in a total volume of 60 μL by adding 1 μL of compounds tested at different concentrations diluted in 100% DMSO (1.7% final DMSO concentration) in reaction buffer (PBS, 125 mM NaCl, 0.001% Novexin (consists of carbohydrate polymers), designed to increase the solubility and stability of proteins; Expedeon Ltd., Cambridgeshire, United Kingdom), 0.01% Gelatin, 0.01% 0.2%, Pluronic F-127 (block copolymer from ethylenoxide and propyleneoxide), 1 mM DTT). After addition of 1.25 nM MDM2-biotinylated or 2.5 nM MDM4-biotinylated (internal preparations), and 0.625 nM Europium labeled streptavidin (Perkin Elmer), the solution is pre-incubated for 15 minutes at room temperature, then 10 nM Cy5-p53 peptide (internal preparation) is added before an incubation at room temperature for 15 minutes prior to reading the plate. For measurement of samples, a Victor II microplate reader (Perkin Elmer) is used with the following settings: Excitation 340 nm, Emission Donor 620 nm and Emission Acceptor 665 nm. For selected compounds displaying IC50s between 0.05 and 5 nM on MDM2, a slightly modified assay is used with the following adaptations: 0.1 nM MDM2, 0.1 nM Europium labeled streptavidin and Tecan genios Pro is used as a microplate reader for the fluorescence measurements (p53-MDM2 Assay 2).";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907611";"Tumour suppressor p53/oncoprotein Mdm2";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL3886789";"37";"BindingDB Database";"";"2016";"None";"";""
"CHEMBL3979783";"";"None";"479.02";"1";"6.25";"BDBM236310";"COc1ccccc1-c1cc2c(n1C(C)C)C(c1ccc(Cl)cc1)N([C@H]1CC[C@H](O)CC1)C2=O";"IC50";"'='";"8.132";"nM";"8.09";"";"411694";"UO_0000065";"16.89";"0.32";"1.84";"14.79";"0";"CHEMBL3888635";"Time Resolved Fluorescence Energy Transfer (TR-FRET) Assay: Assay 2: The test is performed in white 384-well plates (Greiner Bio-One, reference 781207) in a total volume of 60 μL by adding 1 μL of compounds tested at different concentrations diluted in 100% DMSO (1.7% final DMSO concentration) in reaction buffer (PBS, 125 mM NaCl, 0.001% Novexin (consists of carbohydrate polymers), designed to increase the solubility and stability of proteins; Expedeon Ltd., Cambridgeshire, United Kingdom), 0.01% Gelatin, 0.01% 0.2%, Pluronic F-127 (block copolymer from ethylenoxide and propyleneoxide), 1 mM DTT). After addition of 1.25 nM MDM2-biotinylated or 2.5 nM MDM4-biotinylated (internal preparations), and 0.625 nM Europium labeled streptavidin (Perkin Elmer), the solution is pre-incubated for 15 minutes at room temperature, then 10 nM Cy5-p53 peptide (internal preparation) is added before an incubation at room temperature for 15 minutes prior to reading the plate. For measurement of samples, a Victor II microplate reader (Perkin Elmer) is used with the following settings: Excitation 340 nm, Emission Donor 620 nm and Emission Acceptor 665 nm. For selected compounds displaying IC50s between 0.05 and 5 nM on MDM2, a slightly modified assay is used with the following adaptations: 0.1 nM MDM2, 0.1 nM Europium labeled streptavidin and Tecan genios Pro is used as a microplate reader for the fluorescence measurements (p53-MDM2 Assay 2).";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907611";"Tumour suppressor p53/oncoprotein Mdm2";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL3886789";"37";"BindingDB Database";"";"2016";"None";"";""
