"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL4647897";"";"None";"435.46";"0";"3.00";"rac-6i";"Cn1nccc1[C@H]1CCC[C@@H]1Oc1c(F)cc(S(=O)(=O)Nc2ccncn2)cc1F";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL4623819";"Inhibition of human NaV1.5/beta1/beta2 expressed in HEK293A cells by Ionworks high-throughput electrophysiology method";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293-A";"None";"";"";"";"CHEMBL4630763";"Sodium channel protein type 5 subunit alpha/beta-1/beta-2";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL4622872";"1";"Scientific Literature";"J Med Chem";"2020";"CHEMBL3886041";"";""
"CHEMBL4637488";"";"None";"431.49";"0";"3.17";"rac-6p";"Cc1cc(S(=O)(=O)Nc2ccncn2)c(F)cc1O[C@H]1CCC[C@@H]1c1ccnn1C";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4623819";"Inhibition of human NaV1.5/beta1/beta2 expressed in HEK293A cells by Ionworks high-throughput electrophysiology method";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293-A";"None";"";"";"";"CHEMBL4630763";"Sodium channel protein type 5 subunit alpha/beta-1/beta-2";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL4622872";"1";"Scientific Literature";"J Med Chem";"2020";"CHEMBL3886041";"";""
"CHEMBL4645788";"";"None";"435.46";"0";"3.00";"rac-6k";"Cn1nccc1[C@H]1CCC[C@@H]1Oc1cc(F)c(S(=O)(=O)Nc2ccncn2)c(F)c1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4623819";"Inhibition of human NaV1.5/beta1/beta2 expressed in HEK293A cells by Ionworks high-throughput electrophysiology method";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293-A";"None";"";"";"";"CHEMBL4630763";"Sodium channel protein type 5 subunit alpha/beta-1/beta-2";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL4622872";"1";"Scientific Literature";"J Med Chem";"2020";"CHEMBL3886041";"";""
"CHEMBL4633566";"DS-1971";"1.0";"465.94";"0";"3.91";"6o; DS-1971a";"Cn1nccc1[C@H]1CCCC[C@@H]1Oc1cc(F)c(S(=O)(=O)Nc2ccncn2)cc1Cl";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4623819";"Inhibition of human NaV1.5/beta1/beta2 expressed in HEK293A cells by Ionworks high-throughput electrophysiology method";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293-A";"None";"";"";"";"CHEMBL4630763";"Sodium channel protein type 5 subunit alpha/beta-1/beta-2";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL4622872";"1";"Scientific Literature";"J Med Chem";"2020";"CHEMBL3886041";"";""
"CHEMBL2325622";"";"None";"538.99";"1";"4.41";"I";"CN1CC(n2nccc2-c2cc(Cl)ccc2Oc2cc(F)c(S(=O)(=O)Nc3ncns3)cc2F)C1";"IC50";"'='";"75000.0";"nM";"4.12";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4623819";"Inhibition of human NaV1.5/beta1/beta2 expressed in HEK293A cells by Ionworks high-throughput electrophysiology method";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293-A";"None";"";"";"";"CHEMBL4630763";"Sodium channel protein type 5 subunit alpha/beta-1/beta-2";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL4622872";"1";"Scientific Literature";"J Med Chem";"2020";"CHEMBL3886041";"";""
"CHEMBL4642940";"";"None";"463.51";"0";"3.78";"rac-6m";"Cn1nccc1[C@H]1CCCCC[C@@H]1Oc1cc(F)c(S(=O)(=O)Nc2ccncn2)c(F)c1";"IC50";"'='";"96000.0";"nM";"4.02";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4623819";"Inhibition of human NaV1.5/beta1/beta2 expressed in HEK293A cells by Ionworks high-throughput electrophysiology method";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293-A";"None";"";"";"";"CHEMBL4630763";"Sodium channel protein type 5 subunit alpha/beta-1/beta-2";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL4622872";"1";"Scientific Literature";"J Med Chem";"2020";"CHEMBL3886041";"";""
"CHEMBL4637909";"";"None";"451.91";"0";"3.52";"rac-6n";"Cn1nccc1[C@H]1CCC[C@@H]1Oc1cc(F)c(S(=O)(=O)Nc2ccncn2)cc1Cl";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4623819";"Inhibition of human NaV1.5/beta1/beta2 expressed in HEK293A cells by Ionworks high-throughput electrophysiology method";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293-A";"None";"";"";"";"CHEMBL4630763";"Sodium channel protein type 5 subunit alpha/beta-1/beta-2";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL4622872";"1";"Scientific Literature";"J Med Chem";"2020";"CHEMBL3886041";"";""
"CHEMBL4633573";"";"None";"440.50";"0";"3.67";"rac-6e";"Cn1nccc1[C@H]1CCC[C@@H]1Oc1cc(F)c(S(=O)(=O)Nc2nccs2)cc1F";"IC50";"'='";"63000.0";"nM";"4.20";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4623819";"Inhibition of human NaV1.5/beta1/beta2 expressed in HEK293A cells by Ionworks high-throughput electrophysiology method";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293-A";"None";"";"";"";"CHEMBL4630763";"Sodium channel protein type 5 subunit alpha/beta-1/beta-2";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL4622872";"1";"Scientific Literature";"J Med Chem";"2020";"CHEMBL3886041";"";""
"CHEMBL4639987";"";"None";"445.52";"0";"3.56";"rac-6q";"Cc1cc(S(=O)(=O)Nc2ccncn2)c(F)cc1O[C@H]1CCCC[C@@H]1c1ccnn1C";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4623819";"Inhibition of human NaV1.5/beta1/beta2 expressed in HEK293A cells by Ionworks high-throughput electrophysiology method";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293-A";"None";"";"";"";"CHEMBL4630763";"Sodium channel protein type 5 subunit alpha/beta-1/beta-2";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL4622872";"1";"Scientific Literature";"J Med Chem";"2020";"CHEMBL3886041";"";""
"CHEMBL4635030";"";"None";"454.52";"0";"4.06";"rac-6f";"Cn1nccc1[C@H]1CCCC[C@@H]1Oc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1F";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4623819";"Inhibition of human NaV1.5/beta1/beta2 expressed in HEK293A cells by Ionworks high-throughput electrophysiology method";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293-A";"None";"";"";"";"CHEMBL4630763";"Sodium channel protein type 5 subunit alpha/beta-1/beta-2";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL4622872";"1";"Scientific Literature";"J Med Chem";"2020";"CHEMBL3886041";"";""
"CHEMBL2325014";"";"None";"500.36";"2";"5.15";"II";"Nc1[nH]ncc1-c1cc(Cl)ccc1Oc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4623819";"Inhibition of human NaV1.5/beta1/beta2 expressed in HEK293A cells by Ionworks high-throughput electrophysiology method";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293-A";"None";"";"";"";"CHEMBL4630763";"Sodium channel protein type 5 subunit alpha/beta-1/beta-2";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL4622872";"1";"Scientific Literature";"J Med Chem";"2020";"CHEMBL3886041";"";""
"CHEMBL4632675";"";"None";"441.49";"0";"3.07";"rac-6b";"Cn1nccc1[C@H]1CCC[C@@H]1Oc1cc(F)c(S(=O)(=O)Nc2ncns2)cc1F";"IC50";"'='";"28000.0";"nM";"4.55";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4623819";"Inhibition of human NaV1.5/beta1/beta2 expressed in HEK293A cells by Ionworks high-throughput electrophysiology method";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293-A";"None";"";"";"";"CHEMBL4630763";"Sodium channel protein type 5 subunit alpha/beta-1/beta-2";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL4622872";"1";"Scientific Literature";"J Med Chem";"2020";"CHEMBL3886041";"";""
"CHEMBL4648397";"";"None";"449.48";"0";"3.39";"rac-6l";"Cn1nccc1[C@H]1CCCC[C@@H]1Oc1cc(F)c(S(=O)(=O)Nc2ccncn2)c(F)c1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4623819";"Inhibition of human NaV1.5/beta1/beta2 expressed in HEK293A cells by Ionworks high-throughput electrophysiology method";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293-A";"None";"";"";"";"CHEMBL4630763";"Sodium channel protein type 5 subunit alpha/beta-1/beta-2";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL4622872";"1";"Scientific Literature";"J Med Chem";"2020";"CHEMBL3886041";"";""
"CHEMBL4640756";"";"None";"449.48";"0";"3.39";"rac-6h";"Cn1nccc1[C@H]1CCCC[C@@H]1Oc1cc(F)c(S(=O)(=O)Nc2ccncn2)cc1F";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4623819";"Inhibition of human NaV1.5/beta1/beta2 expressed in HEK293A cells by Ionworks high-throughput electrophysiology method";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293-A";"None";"";"";"";"CHEMBL4630763";"Sodium channel protein type 5 subunit alpha/beta-1/beta-2";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL4622872";"1";"Scientific Literature";"J Med Chem";"2020";"CHEMBL3886041";"";""
